event_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint
evt-000001,svc-0413,service_account,2026-05-01 00:01:12,67.192.56.206,"New York, US (40.7128, -74.0060)",eng/ci/build-runner,token,315.94,AUTH_OK|deploy.apply,RHEL 9 (vm) / fw 5.14.0 / 34:5D:CC:C7:B3:AD
evt-000048,svc-0389,service_account,2026-05-01 00:38:24,10.15.244.28,"New York, US (40.7128, -74.0060)",db/prod/customers,token,116.58,AUTH_OK|db.describe|db.connect|db.connect|db.connect|db.count,Alpine 3.20 (container) / fw 6.6.32 / 26:A1:21:85:CA:EE
evt-000095,dev-0483,edge_device,2026-05-01 01:16:09,10.14.83.195,"Amsterdam, NL (52.3676, 4.9041)",ot/historian,certificate,32.05,AUTH_OK|db.export|db.explain|db.describe|db.describe,Yocto Kirkstone / fw 4.1.12-rt / 8A:D5:99:D8:9C:45
evt-000142,svc-0340,service_account,2026-05-01 01:52:50,10.16.68.136,"Austin, US (30.2672, -97.7431)",eng/repo/platform-core,certificate,74.8,AUTH_OK|git.log|git.push|code.search|git.push,Alpine 3.20 (container) / fw 6.6.32 / 24:EA:37:8F:1D:2C
evt-000189,svc-0349,service_account,2026-05-01 02:23:49,10.16.53.190,"Austin, US (30.2672, -97.7431)",db/analytics/events,token,92.69,AUTH_OK|db.explain|db.explain|db.count|db.explain|db.connect|db.select,Alpine 3.20 (container) / fw 6.6.32 / 6C:94:DD:BC:BE:87
evt-000236,svc-0327,service_account,2026-05-01 03:00:19,10.16.26.27,"Austin, US (30.2672, -97.7431)",db/prod/telemetry,token,64.41,AUTH_OK|db.export|db.export|db.select,Alpine 3.20 (container) / fw 6.6.32 / B2:45:41:5B:CB:AC
evt-000283,svc-0419,service_account,2026-05-01 03:27:44,10.14.174.151,"Amsterdam, NL (52.3676, 4.9041)",eng/repo/platform-core,token,194.99,AUTH_OK|git.clone|git.log|git.fetch|code.search|git.clone|git.clone|git.push,Alpine 3.20 (container) / fw 6.6.32 / E2:1E:19:1B:7F:96
evt-000330,svc-0364,service_account,2026-05-01 03:54:49,10.15.151.40,"New York, US (40.7128, -74.0060)",db/analytics/sessions,token,61.54,AUTH_OK|db.explain|db.count|db.count,RHEL 9 (vm) / fw 5.14.0 / EA:E7:12:B3:C9:41
evt-000377,usr-0048,user,2026-05-01 04:29:00,10.17.214.13,"Singapore, SG (1.3521, 103.8198)",eng/repo/watchtower,password,548.93,AUTH_OK|code.search|pr.review,macOS 15 Sequoia / fw 24.1.0 / 42:F1:D5:19:C7:75
evt-000424,usr-0290,user,2026-05-01 05:00:38,193.1.39.187,"Seoul, KR (37.5665, 126.9780)",eng/repo/platform-core,password,326.98,AUTH_OK|git.fetch|git.fetch|pr.review|git.log|git.log,macOS 15 Sequoia / fw 24.1.0 / AE:56:60:D5:11:FA
evt-000471,dev-0498,edge_device,2026-05-01 05:30:30,10.17.0.180,"Singapore, SG (1.3521, 103.8198)",iot/firmware/ota,certificate,46.83,AUTH_OK|tel.heartbeat|tel.heartbeat,BuildRoot 2024.02 / fw 5.10.198 / 12:06:FA:67:EF:E3
evt-000518,svc-0360,service_account,2026-05-01 05:54:19,10.10.169.99,"Bengaluru, IN (12.9716, 77.5946)",warehouse/exports,token,70.39,AUTH_OK|fs.read|fs.download|fs.stat|fs.download,Alpine 3.20 (container) / fw 6.6.32 / EA:BD:9D:B1:A6:49
evt-000565,usr-0110,user,2026-05-01 06:14:59,193.96.16.134,"Chicago, US (41.8781, -87.6298)",db/prod/transactions,password,212.37,AUTH_OK|db.connect|db.select|db.export|db.count|db.connect|db.explain|db.describe|db.describe,Ubuntu 22.04 LTS / fw 5.15.0 / 28:CB:16:B8:20:16
